"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Arcadyan_f4:3a:62","Broadcast","ARP","42","Who has 192.168.29.122? Tell 192.168.29.1"
"2","0.193691","140.82.113.26","192.168.29.45","TLSv1.2","80","Application Data"
"3","0.194289","192.168.29.45","140.82.113.26","TLSv1.2","84","Application Data"
"4","0.196570","13.89.179.9","192.168.29.45","TCP","56","443  >  1753 [ACK] Seq=1 Ack=1 Win=16380 Len=0"
"5","0.468470","140.82.113.26","192.168.29.45","TCP","54","443  >  65101 [ACK] Seq=27 Ack=31 Win=76 Len=0"
"6","0.655362","192.168.29.45","140.82.112.21","TLSv1.2","31646","Application Data"
"7","0.655475","192.168.29.45","140.82.112.21","TLSv1.2","31646","Application Data, Application Data"
"8","0.655537","192.168.29.45","140.82.112.21","TLSv1.2","31646","Application Data, Application Data"
"9","0.655602","192.168.29.45","140.82.112.21","TLSv1.2","4065","Application Data, Application Data"
"10","0.928250","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=1 Ack=5745 Win=1285 Len=0"
"11","0.928250","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=1 Ack=8617 Win=1289 Len=0"
"12","0.928456","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=1 Ack=12925 Win=1289 Len=0"
"13","0.933449","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=1 Ack=17233 Win=1286 Len=0"
"14","0.933583","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=1 Ack=20105 Win=1288 Len=0"
"15","0.933667","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=1 Ack=28721 Win=1280 Len=0"
"16","0.934042","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=1 Ack=31593 Win=1288 Len=0"
"17","0.934667","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=1 Ack=33029 Win=1287 Len=0"
"18","0.934667","140.82.112.21","192.168.29.45","TLSv1.2","102","Application Data"
"19","0.934667","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=49 Ack=35901 Win=1289 Len=0"
"20","0.934867","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=49 Ack=38773 Win=1289 Len=0"
"21","0.934934","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=49 Ack=44517 Win=1289 Len=0"
"22","0.935330","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=49 Ack=47389 Win=1289 Len=0"
"23","0.935381","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=49 Ack=53133 Win=1285 Len=0"
"24","0.935483","140.82.112.21","192.168.29.45","TLSv1.2","102","Application Data"
"25","0.935556","192.168.29.45","140.82.112.21","TCP","54","1612  >  443 [ACK] Seq=98788 Ack=97 Win=253 Len=0"
"26","0.935716","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=97 Ack=58877 Win=1289 Len=0"
"27","0.936529","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=97 Ack=63185 Win=1289 Len=0"
"28","0.936633","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=97 Ack=66057 Win=1289 Len=0"
"29","0.936726","140.82.112.21","192.168.29.45","TLSv1.2","102","Application Data"
"30","0.938159","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=145 Ack=70365 Win=1289 Len=0"
"31","0.938259","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=145 Ack=73237 Win=1289 Len=0"
"32","0.938348","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=145 Ack=76109 Win=1289 Len=0"
"33","0.938915","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=145 Ack=84725 Win=1282 Len=0"
"34","0.938915","140.82.112.21","192.168.29.45","TLSv1.2","102","Application Data"
"35","0.939020","192.168.29.45","140.82.112.21","TCP","54","1612  >  443 [ACK] Seq=98788 Ack=193 Win=252 Len=0"
"36","0.939192","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=193 Ack=91905 Win=1289 Len=0"
"37","0.940896","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=193 Ack=94777 Win=1289 Len=0"
"38","0.941019","140.82.112.21","192.168.29.45","TCP","56","443  >  1612 [ACK] Seq=193 Ack=98788 Win=1288 Len=0"
"39","0.941134","140.82.112.21","192.168.29.45","TLSv1.2","102","Application Data"
"40","0.988769","192.168.29.45","140.82.112.21","TCP","54","1612  >  443 [ACK] Seq=98788 Ack=241 Win=252 Len=0"
"41","1.291931","140.82.112.21","192.168.29.45","TLSv1.2","515","Application Data"
"42","1.333164","192.168.29.45","140.82.112.21","TCP","54","1612  >  443 [ACK] Seq=98788 Ack=702 Win=250 Len=0"
"43","1.643967","34.194.114.8","192.168.29.45","TCP","66","443  >  1792 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1460 SACK_PERM WS=256"
"44","2.021815","Arcadyan_f4:3a:62","Broadcast","ARP","42","Who has 192.168.29.208? Tell 192.168.29.1"
"45","3.025559","Arcadyan_f4:3a:62","Broadcast","ARP","42","Who has 192.168.29.208? Tell 192.168.29.1"
"46","4.536458","192.168.29.45","192.168.29.1","DNS","92","Standard query 0x894e A mobile.events.data.microsoft.com"
"47","4.557673","192.168.29.1","192.168.29.45","DNS","212","Standard query response 0x894e A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdeus09.eastus.cloudapp.azure.com A 20.42.73.26"
"48","4.558224","192.168.29.45","20.42.73.26","TCP","66","1799  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"49","4.772563","20.42.73.26","192.168.29.45","TCP","66","443  >  1799 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"50","4.772730","192.168.29.45","20.42.73.26","TCP","54","1799  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"51","4.773333","192.168.29.45","20.42.73.26","TLSv1.3","571","Client Hello (SNI=mobile.events.data.microsoft.com)"
"52","5.003169","20.42.73.26","192.168.29.45","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"53","5.007298","192.168.29.45","20.42.73.26","TLSv1.3","491","Change Cipher Spec, Client Hello (SNI=mobile.events.data.microsoft.com)"
"54","5.223091","20.42.73.26","192.168.29.45","TLSv1.3","1514","Server Hello"
"55","5.223628","20.42.73.26","192.168.29.45","TCP","1514","443  >  1799 [ACK] Seq=1560 Ack=955 Win=4193536 Len=1460 [TCP PDU reassembled in 58]"
"56","5.223667","192.168.29.45","20.42.73.26","TCP","54","1799  >  443 [ACK] Seq=955 Ack=3020 Win=65280 Len=0"
"57","5.224099","20.42.73.26","192.168.29.45","TCP","1514","443  >  1799 [ACK] Seq=3020 Ack=955 Win=4193536 Len=1460 [TCP PDU reassembled in 58]"
"58","5.224192","20.42.73.26","192.168.29.45","TLSv1.3","209","Application Data"
