"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.29.45","192.168.29.90","TCP","164","1046  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=251 Len=110 [TCP PDU reassembled in 2402]"
"2","0.007981","192.168.29.90","192.168.29.45","TCP","164","8009  >  1046 [PSH, ACK] Seq=1 Ack=111 Win=1552 Len=110 [TCP PDU reassembled in 2404]"
"3","0.030511","192.168.29.45","192.168.29.90","TCP","164","1050  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=251 Len=110 [TCP PDU reassembled in 2403]"
"4","0.034504","192.168.29.90","192.168.29.45","TCP","164","8009  >  1050 [PSH, ACK] Seq=1 Ack=111 Win=1552 Len=110 [TCP PDU reassembled in 2405]"
"5","0.060985","192.168.29.45","192.168.29.90","TCP","54","1046  >  8009 [ACK] Seq=111 Ack=111 Win=250 Len=0"
"6","0.077130","192.168.29.45","192.168.29.90","TCP","54","1050  >  8009 [ACK] Seq=111 Ack=111 Win=250 Len=0"
"7","0.487660","ea:53:53:4b:a3:f7","Broadcast","ARP","60","Who has 192.168.29.1? Tell 192.168.29.122"
"8","2.414869","192.168.29.45","172.217.27.163","TCP","55","2680  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"9","2.459670","172.217.27.163","192.168.29.45","TCP","66","443  >  2680 [ACK] Seq=1 Ack=2 Win=1047 Len=0 SLE=1 SRE=2"
"10","5.033484","192.168.29.45","192.168.29.90","TCP","164","1046  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=250 Len=110 [TCP PDU reassembled in 2402]"
"11","5.040354","192.168.29.90","192.168.29.45","TCP","164","8009  >  1046 [PSH, ACK] Seq=111 Ack=221 Win=1552 Len=110 [TCP PDU reassembled in 2404]"
"12","5.045672","192.168.29.45","192.168.29.90","TCP","164","1050  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=250 Len=110 [TCP PDU reassembled in 2403]"
"13","5.050714","192.168.29.90","192.168.29.45","TCP","164","8009  >  1050 [PSH, ACK] Seq=111 Ack=221 Win=1552 Len=110 [TCP PDU reassembled in 2405]"
"14","5.091288","192.168.29.45","192.168.29.90","TCP","54","1046  >  8009 [ACK] Seq=221 Ack=221 Win=250 Len=0"
"15","5.091376","192.168.29.45","192.168.29.90","TCP","54","1050  >  8009 [ACK] Seq=221 Ack=221 Win=250 Len=0"
"16","5.985906","192.168.29.45","142.251.220.4","QUIC","1292","Initial, DCID=d1b75c15cd428dcc, PKN: 1, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PING, CRYPTO, PING, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO"
"17","5.986075","192.168.29.45","142.251.220.4","QUIC","1292","Initial, DCID=d1b75c15cd428dcc, PKN: 2, CRYPTO"
"18","5.986214","192.168.29.45","142.251.220.4","QUIC","1292","Initial, DCID=d1b75c15cd428dcc, PKN: 3, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING, PING, PADDING, PING, PING, PING, CRYPTO, CRYPTO, PING, CRYPTO, PING, CRYPTO"
"19","5.986714","192.168.29.45","142.251.220.4","QUIC","123","0-RTT, DCID=d1b75c15cd428dcc"
"20","5.990027","192.168.29.45","142.251.220.4","QUIC","1288","0-RTT, DCID=d1b75c15cd428dcc"
"21","5.990249","192.168.29.45","142.251.220.4","QUIC","1292","0-RTT, DCID=d1b75c15cd428dcc"
"22","5.990440","192.168.29.45","142.251.220.4","QUIC","496","0-RTT, DCID=d1b75c15cd428dcc"
"23","5.990512","192.168.29.45","142.251.220.4","QUIC","114","0-RTT, DCID=d1b75c15cd428dcc"
"24","6.039777","142.251.220.4","192.168.29.45","QUIC","82","Initial, SCID=f1b75c15cd428dcc, PKN: 1, ACK"
"25","6.049189","142.251.220.4","192.168.29.45","QUIC","82","Initial, SCID=f1b75c15cd428dcc, PKN: 2, ACK"
"26","6.060612","142.251.220.4","192.168.29.45","QUIC","1292","Initial, SCID=f1b75c15cd428dcc, PKN: 3, ACK, PADDING"
"27","6.060954","142.251.220.4","192.168.29.45","QUIC","1292","Initial, SCID=f1b75c15cd428dcc, PKN: 4, ACK, PADDING"
"28","6.102017","192.168.29.45","142.251.220.4","QUIC","1292","Initial, DCID=f1b75c15cd428dcc, PKN: 10, PADDING, PING, PADDING"
"29","6.121428","142.251.220.4","192.168.29.45","QUIC","1292","Initial, SCID=f1b75c15cd428dcc, PKN: 5, CRYPTO, PADDING"
"30","6.121428","142.251.220.4","192.168.29.45","QUIC","342","Protected Payload (KP0)"
"31","6.121428","142.251.220.4","192.168.29.45","QUIC","992","Protected Payload (KP0)"
"32","6.121428","142.251.220.4","192.168.29.45","QUIC","115","Protected Payload (KP0)"
"33","6.121428","142.251.220.4","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"34","6.123531","192.168.29.45","142.251.220.4","QUIC","1292","Initial, DCID=f1b75c15cd428dcc, PKN: 11, ACK, PADDING"
"35","6.126879","142.251.220.4","192.168.29.45","QUIC","1292","Initial, SCID=f1b75c15cd428dcc, PKN: 11, ACK, CRYPTO, PADDING"
"36","6.126879","142.251.220.4","192.168.29.45","QUIC","347","Protected Payload (KP0)"
"37","6.127949","192.168.29.45","142.251.220.4","QUIC","82","Handshake, DCID=f1b75c15cd428dcc"
