"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","13.89.178.27","192.168.29.45","TCP","56","443  >  13567 [ACK] Seq=1 Ack=1 Win=16379 Len=0"
"2","0.204599","140.82.113.22","192.168.29.45","TLSv1.2","642","Application Data"
"3","0.204599","140.82.113.22","192.168.29.45","TLSv1.2","78","Application Data"
"4","0.204850","192.168.29.45","140.82.113.22","TCP","54","13584  >  443 [ACK] Seq=1 Ack=613 Win=252 Len=0"
"5","0.205036","140.82.113.22","192.168.29.45","TCP","54","443  >  13584 [FIN, ACK] Seq=613 Ack=1 Win=77 Len=0"
"6","0.205115","192.168.29.45","140.82.113.22","TCP","54","13584  >  443 [ACK] Seq=1 Ack=614 Win=252 Len=0"
"7","0.206336","192.168.29.45","140.82.113.22","TLSv1.2","78","Application Data"
"8","0.207162","192.168.29.45","140.82.113.22","TCP","54","13584  >  443 [FIN, ACK] Seq=25 Ack=614 Win=252 Len=0"
"9","0.511374","140.82.113.22","192.168.29.45","TCP","54","443  >  13584 [RST] Seq=614 Win=0 Len=0"
"10","3.302472","192.168.29.45","142.250.207.234","UDP","71","60852  >  443 Len=29"
"11","3.367720","142.250.207.234","192.168.29.45","UDP","68","443  >  60852 Len=26"
"12","4.553423","192.168.29.45","142.250.192.36","QUIC","1292","Initial, DCID=37659f9799ed28e8, PKN: 1, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PING"
"13","4.553719","192.168.29.45","142.250.192.36","QUIC","1292","Initial, DCID=37659f9799ed28e8, PKN: 2, CRYPTO, CRYPTO, PING, CRYPTO"
"14","4.554703","192.168.29.45","142.250.192.36","QUIC","122","0-RTT, DCID=37659f9799ed28e8"
"15","4.583416","192.168.29.45","142.250.192.36","QUIC","1288","0-RTT, DCID=37659f9799ed28e8"
"16","4.583528","192.168.29.45","142.250.192.36","QUIC","1292","0-RTT, DCID=37659f9799ed28e8"
"17","4.583649","192.168.29.45","142.250.192.36","QUIC","407","0-RTT, DCID=37659f9799ed28e8"
"18","4.583709","192.168.29.45","142.250.192.36","QUIC","113","0-RTT, DCID=37659f9799ed28e8"
"19","4.597324","142.250.192.36","192.168.29.45","QUIC","82","Initial, SCID=f7659f9799ed28e8, PKN: 1, ACK"
"20","4.597830","142.250.192.36","192.168.29.45","QUIC","1292","Initial, SCID=f7659f9799ed28e8, PKN: 2, ACK, PADDING"
"21","4.655065","142.250.192.36","192.168.29.45","QUIC","1292","Initial, SCID=f7659f9799ed28e8, PKN: 3, CRYPTO, PADDING"
"22","4.655629","142.250.192.36","192.168.29.45","QUIC","344","Protected Payload (KP0)"
"23","4.656261","192.168.29.45","142.250.192.36","QUIC","120","Handshake, DCID=f7659f9799ed28e8"
"24","4.656290","142.250.192.36","192.168.29.45","QUIC","990","Protected Payload (KP0)"
"25","4.656566","192.168.29.45","142.250.192.36","QUIC","73","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"26","4.657024","142.250.192.36","192.168.29.45","QUIC","117","Protected Payload (KP0)"
"27","4.657581","142.250.192.36","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"28","4.692225","142.250.192.36","192.168.29.45","QUIC","162","Protected Payload (KP0)"
"29","4.692711","142.250.192.36","192.168.29.45","QUIC","64","Protected Payload (KP0)"
"30","4.694831","192.168.29.45","142.250.192.36","QUIC","73","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"31","4.725158","192.168.29.45","142.250.192.36","QUIC","74","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"32","4.740763","192.168.29.45","142.250.192.36","QUIC","82","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"33","4.754157","192.168.29.45","142.250.192.36","QUIC","257","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"34","4.772874","142.250.192.36","192.168.29.45","QUIC","1288","Protected Payload (KP0)"
"35","4.773979","142.250.192.36","192.168.29.45","QUIC","776","Protected Payload (KP0)"
"36","4.774119","142.250.192.36","192.168.29.45","QUIC","118","Protected Payload (KP0)"
"37","4.774309","192.168.29.45","142.250.192.36","QUIC","73","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"38","4.787191","142.250.192.36","192.168.29.45","QUIC","73","Protected Payload (KP0)"
"39","4.787543","192.168.29.45","142.250.192.36","QUIC","73","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"40","4.814318","142.250.192.36","192.168.29.45","QUIC","72","Protected Payload (KP0)"
"41","4.859695","192.168.29.45","142.250.192.36","QUIC","74","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"42","4.890529","142.250.192.36","192.168.29.45","QUIC","64","Protected Payload (KP0)"
"43","4.916800","142.250.192.36","192.168.29.45","QUIC","1288","Protected Payload (KP0)"
"44","4.917239","142.250.192.36","192.168.29.45","QUIC","481","Protected Payload (KP0)"
"45","4.917333","142.250.192.36","192.168.29.45","QUIC","195","Protected Payload (KP0)"
"46","4.919147","192.168.29.45","142.250.192.36","QUIC","75","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"47","4.919562","192.168.29.45","142.250.192.36","QUIC","79","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"48","4.919700","192.168.29.45","142.250.192.36","QUIC","75","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"49","4.919806","192.168.29.45","142.250.192.36","QUIC","75","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"50","4.979675","142.250.192.36","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"51","5.118939","192.168.29.45","142.250.192.36","QUIC","148","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"52","5.179112","142.250.192.36","192.168.29.45","QUIC","70","Protected Payload (KP0)"
"53","5.223548","192.168.29.45","142.250.192.36","QUIC","74","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"54","5.253899","142.250.192.36","192.168.29.45","QUIC","763","Protected Payload (KP0)"
"55","5.254290","142.250.192.36","192.168.29.45","QUIC","271","Protected Payload (KP0)"
"56","5.258849","192.168.29.45","142.250.192.36","QUIC","77","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"57","5.322856","142.250.192.36","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"58","5.362081","192.168.29.45","142.250.192.36","QUIC","237","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"59","5.362428","192.168.29.45","142.250.192.36","QUIC","154","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"60","5.399175","142.250.192.36","192.168.29.45","QUIC","70","Protected Payload (KP0)"
"61","5.456650","192.168.29.45","142.250.192.36","QUIC","74","Protected Payload (KP0), DCID=f7659f9799ed28e8"
"62","5.482582","142.250.192.36","192.168.29.45","QUIC","65","Protected Payload (KP0)"
"63","5.527145","142.250.192.36","192.168.29.45","QUIC","1288","Protected Payload (KP0)"
"64","5.527525","142.250.192.36","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"65","5.527842","142.250.192.36","192.168.29.45","QUIC","841","Protected Payload (KP0)"
"66","5.528267","142.250.192.36","192.168.29.45","QUIC","1288","Protected Payload (KP0)"
"67","5.528731","142.250.192.36","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"68","5.529135","142.250.192.36","192.168.29.45","QUIC","1131","Protected Payload (KP0)"
"69","5.529243","142.250.192.36","192.168.29.45","QUIC","199","Protected Payload (KP0)"
